,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,year
6,Philadelphia 76ers*,82,241.2,40.8,86.6,.472,11.0,29.8,.369,29.9,56.7,.526,17.1,22.8,.752,10.9,36.5,47.4,27.1,8.3,5.1,16.5,22.1,109.8,2018
7,Minnesota Timberwolves*,82,241.5,41.0,86.1,.476,8.0,22.5,.357,33.0,63.6,.519,19.4,24.1,.804,10.3,31.6,42.0,22.7,8.4,4.2,12.5,18.2,109.5,2018
8,Los Angeles Clippers,82,240.3,40.3,85.4,.471,9.5,26.8,.354,30.8,58.6,.525,19.0,25.5,.743,10.1,33.7,43.9,22.3,7.7,4.5,14.7,20.0,109.0,2018
9,Charlotte Hornets,82,241.2,39.0,86.7,.450,10.0,27.2,.369,28.9,59.4,.487,20.2,27.0,.747,10.1,35.4,45.5,21.6,6.8,4.5,12.7,17.2,108.2,2018
10,Los Angeles Lakers,82,242.7,40.7,88.4,.461,10.0,29.1,.345,30.7,59.3,.517,16.6,23.3,.714,10.7,35.7,46.4,23.8,7.7,4.7,15.8,21.2,108.1,2018
11,Oklahoma City Thunder*,82,241.8,39.9,88.1,.453,10.7,30.4,.354,29.1,57.7,.505,17.3,24.2,.716,12.5,32.6,45.1,21.3,9.1,5.0,14.0,20.2,107.9,2018
12,Washington Wizards*,82,242.1,39.9,85.6,.467,9.9,26.5,.375,30.0,59.1,.508,16.8,21.8,.772,10.0,33.1,43.1,25.2,7.9,4.3,14.6,21.3,106.6,2018
13,Brooklyn Nets,82,242.1,38.2,86.8,.441,12.7,35.7,.356,25.5,51.1,.500,17.4,22.6,.772,9.7,34.8,44.4,23.7,6.2,4.8,15.2,20.6,106.6,2018
14,Milwaukee Bucks*,82,241.8,39.7,83.0,.478,8.8,24.7,.355,31.0,58.3,.531,18.3,23.4,.783,8.4,31.5,39.8,23.2,8.8,5.4,13.8,21.4,106.5,2018
15,,,,,,,,,,,,,,,,,,,,,,,,,2018
16,Portland Trail Blazers*,82,240.9,39.3,87.0,.452,10.3,28.1,.366,29.0,58.8,.493,16.7,20.9,.800,10.2,35.3,45.5,19.5,7.0,5.2,13.5,19.5,105.6,2018
17,Indiana Pacers*,82,240.9,40.8,86.4,.472,9.0,24.5,.369,31.8,61.9,.513,14.9,19.2,.779,9.6,32.7,42.3,22.2,8.8,4.1,13.3,18.8,105.6,2018
18,New York Knicks,82,241.8,40.7,87.7,.464,8.2,23.3,.352,32.5,64.4,.504,14.9,19.0,.787,10.5,33.6,44.0,23.3,6.7,5.1,14.7,20.5,104.5,2018
19,Utah Jazz*,82,240.9,38.3,82.9,.462,10.8,29.6,.366,27.5,53.3,.515,16.8,21.5,.779,9.0,34.2,43.3,22.4,8.6,5.1,14.7,19.6,104.1,2018
20,Boston Celtics*,82,241.5,38.3,85.1,.450,11.5,30.4,.377,26.9,54.7,.491,16.0,20.7,.771,9.4,35.1,44.5,22.5,7.4,4.5,14.0,19.7,104.0,2018
21,Phoenix Suns,82,240.3,38.5,87.1,.442,9.3,27.9,.334,29.1,59.2,.492,17.7,23.9,.741,10.3,33.9,44.1,21.3,6.9,4.5,15.7,22.0,103.9,2018
22,Detroit Pistons,82,241.5,39.1,86.9,.450,10.8,28.9,.373,28.3,58.0,.488,14.7,19.8,.745,10.1,33.6,43.7,22.8,7.7,3.9,13.5,18.4,103.8,2018
23,Miami Heat*,82,243.0,38.8,85.3,.455,11.0,30.6,.360,27.8,54.8,.508,14.7,19.5,.755,9.3,34.2,43.5,22.7,7.6,5.3,14.4,20.1,103.4,2018
24,Orlando Magic,82,240.6,38.8,85.9,.452,10.3,29.3,.351,28.5,56.5,.504,15.5,20.5,.757,8.8,32.8,41.6,23.4,7.6,4.9,14.5,19.3,103.4,2018
25,Atlanta Hawks,82,240.3,38.2,85.5,.446,11.2,31.0,.360,27.0,54.5,.495,15.8,20.2,.785,9.1,32.8,41.9,23.7,7.8,4.2,15.6,19.6,103.4,2018
26,Chicago Bulls,82,242.1,38.7,88.8,.435,11.0,31.1,.355,27.6,57.8,.478,14.6,19.2,.759,9.6,35.0,44.7,23.5,7.6,3.5,14.0,19.2,102.9,2018
27,San Antonio Spurs*,82,240.6,39.0,85.4,.457,8.5,24.1,.352,30.6,61.2,.499,16.1,20.9,.772,10.4,33.9,44.2,22.8,7.7,5.6,13.1,17.2,102.7,2018
28,Dallas Mavericks,82,241.5,38.1,85.9,.444,11.8,32.8,.360,26.4,53.1,.496,14.2,18.7,.763,8.1,33.1,41.3,22.7,7.0,3.8,12.3,19.2,102.3,2018
29,Memphis Grizzlies,82,240.3,36.7,82.8,.444,9.2,26.2,.352,27.5,56.5,.486,16.6,21.1,.786,9.5,31.0,40.5,21.5,7.5,4.8,15.0,23.2,99.3,2018
30,Sacramento Kings,82,240.9,38.8,86.1,.450,9.0,24.0,.375,29.8,62.1,.479,12.3,16.7,.735,9.5,31.4,40.9,21.6,7.8,4.1,13.7,20.0,98.8,2018
0,Milwaukee Bucks*,82,241.2,43.4,91.1,.476,13.5,38.2,.353,29.9,52.9,.565,17.9,23.2,.773,9.3,40.4,49.7,26.0,7.5,5.9,13.9,19.6,118.1,2019
1,Golden State Warriors*,82,241.5,44.0,89.8,.491,13.3,34.4,.385,30.8,55.3,.557,16.3,20.4,.801,9.7,36.5,46.2,29.4,7.6,6.4,14.3,21.4,117.7,2019
2,New Orleans Pelicans,82,240.9,43.7,92.2,.473,10.3,29.9,.344,33.4,62.4,.536,17.8,23.4,.761,11.1,36.2,47.3,27.0,7.4,5.4,14.8,21.1,115.4,2019
3,Philadelphia 76ers*,82,241.5,41.5,88.2,.471,10.8,30.2,.359,30.7,58.0,.529,21.2,27.5,.771,10.9,36.9,47.8,26.9,7.4,5.3,14.9,21.3,115.2,2019
4,Los Angeles Clippers*,82,241.8,41.3,87.5,.471,10.0,25.8,.388,31.3,61.7,.507,22.6,28.5,.792,9.7,35.8,45.5,24.0,6.8,4.7,14.5,23.3,115.1,2019
5,Portland Trail Blazers*,82,242.1,42.3,90.6,.467,11.0,30.7,.359,31.3,59.8,.523,19.0,23.3,.814,11.8,36.2,48.0,23.0,6.7,5.0,13.8,20.4,114.7,2019
6,Oklahoma City Thunder*,82,242.1,42.6,94.0,.454,11.4,32.6,.348,31.3,61.3,.510,17.8,25.0,.713,12.6,35.5,48.1,23.4,9.3,5.2,14.0,22.4,114.5,2019
7,Toronto Raptors*,82,242.4,42.2,89.1,.474,12.4,33.8,.366,29.8,55.3,.539,17.7,22.0,.804,9.6,35.6,45.2,25.4,8.3,5.3,14.0,21.0,114.4,2019
8,Sacramento Kings,82,240.6,43.2,93.1,.464,11.3,29.9,.378,31.9,63.2,.504,16.5,22.7,.726,11.0,34.4,45.4,25.4,8.3,4.4,13.4,21.4,114.2,2019
9,Washington Wizards,82,243.0,42.1,90.1,.468,11.3,33.3,.341,30.8,56.8,.543,18.4,23.9,.768,9.7,32.7,42.4,26.3,8.3,4.6,14.1,20.7,114.0,2019
10,Houston Rockets*,82,241.8,39.2,87.4,.449,16.1,45.4,.356,23.1,42.0,.551,19.3,24.4,.791,10.2,31.9,42.1,21.2,8.5,4.9,13.3,22.0,113.9,2019
11,Atlanta Hawks,82,242.1,41.4,91.8,.451,13.0,37.0,.352,28.4,54.8,.518,17.6,23.4,.752,11.6,34.5,46.1,25.8,8.2,5.1,17.0,23.6,113.3,2019
12,Minnesota Timberwolves,82,241.8,41.6,91.3,.456,10.1,28.7,.351,31.5,62.5,.504,19.1,24.3,.787,11.3,33.5,44.8,24.6,8.3,5.0,13.1,20.3,112.5,2019
13,Boston Celtics*,82,241.2,42.1,90.5,.465,12.6,34.5,.365,29.5,56.0,.527,15.6,19.5,.802,9.8,34.7,44.5,26.3,8.6,5.3,12.8,20.4,112.4,2019
14,Brooklyn Nets*,82,243.7,40.3,89.7,.449,12.8,36.2,.353,27.5,53.6,.513,19.0,25.5,.745,11.0,35.6,46.6,23.8,6.6,4.1,15.1,21.5,112.2,2019
15,,,,,,,,,,,,,,,,,,,,,,,,,2019
16,Los Angeles Lakers,82,241.2,42.6,90.5,.470,10.3,31.0,.333,32.2,59.6,.541,16.3,23.3,.699,10.2,36.4,46.6,25.6,7.5,5.4,15.7,20.7,111.8,2019
17,Utah Jazz*,82,240.9,40.4,86.4,.468,12.1,34.0,.356,28.3,52.4,.541,18.8,25.5,.736,10.0,36.4,46.4,26.0,8.1,5.9,15.1,21.1,111.7,2019
18,San Antonio Spurs*,82,241.5,42.3,88.4,.478,9.9,25.3,.392,32.4,63.1,.513,17.2,21.0,.819,9.2,35.5,44.7,24.5,6.1,4.7,12.1,18.1,111.7,2019
19,Charlotte Hornets,82,241.8,40.2,89.8,.448,11.9,33.9,.351,28.3,55.8,.507,18.4,23.1,.797,9.9,33.9,43.8,23.2,7.2,4.9,12.2,18.9,110.7,2019
20,Denver Nuggets*,82,240.6,41.9,90.0,.466,11.0,31.4,.351,30.9,58.7,.527,15.8,20.9,.755,11.9,34.5,46.4,27.4,7.7,4.4,13.4,20.0,110.7,2019
21,Dallas Mavericks,82,241.2,38.8,86.9,.447,12.5,36.6,.340,26.3,50.2,.524,18.8,25.3,.742,10.1,35.2,45.3,23.4,6.5,4.3,14.2,20.1,108.9,2019
22,Indiana Pacers*,82,240.3,41.3,87.0,.475,9.5,25.4,.374,31.8,61.6,.517,15.8,21.1,.752,9.3,33.7,43.0,26.0,8.7,4.9,13.7,19.4,108.0,2019
23,Phoenix Suns,82,242.4,40.1,87.4,.459,9.6,29.3,.329,30.5,58.1,.525,17.6,22.7,.779,9.1,31.3,40.4,23.9,9.0,5.1,15.6,23.6,107.5,2019
24,Orlando Magic*,82,241.2,40.4,89.1,.454,11.4,32.1,.356,29.0,57.0,.509,15.0,19.2,.782,10.0,35.4,45.4,25.5,6.6,5.4,13.2,18.6,107.3,2019
25,Detroit Pistons*,82,242.1,38.8,88.3,.440,12.1,34.8,.348,26.7,53.5,.500,17.3,23.1,.747,11.4,33.6,45.0,22.5,6.9,4.0,13.8,22.1,107.0,2019
26,Miami Heat,82,240.6,39.6,88.0,.450,11.3,32.4,.349,28.3,55.6,.509,15.1,21.7,.695,11.2,35.1,46.3,24.3,7.6,5.5,14.7,20.9,105.7,2019
27,Chicago Bulls,82,242.7,39.8,87.9,.453,9.1,25.9,.351,30.7,62.0,.496,16.2,20.7,.783,8.8,34.1,42.9,21.9,7.4,4.3,14.1,20.3,104.9,2019
28,New York Knicks,82,241.2,38.2,88.3,.433,10.0,29.5,.340,28.2,58.8,.479,18.1,23.9,.759,10.5,34.3,44.7,20.1,6.8,5.1,14.0,20.9,104.6,2019
29,Cleveland Cavaliers,82,240.9,38.9,87.6,.444,10.3,29.1,.355,28.6,58.5,.488,16.4,20.7,.792,10.7,31.9,42.7,20.7,6.5,2.4,13.5,20.0,104.5,2019
30,Memphis Grizzlies,82,242.4,38.0,84.4,.450,9.9,28.9,.342,28.1,55.6,.505,17.7,23.0,.772,8.8,33.0,41.8,23.9,8.3,5.5,14.0,22.0,103.5,2019
0,Dallas Mavericks*,75,242.3,41.7,90.3,.461,15.1,41.3,.367,26.5,49.0,.541,18.6,23.8,.779,10.5,36.4,46.9,24.7,6.1,4.8,12.7,19.5,117.0,2020
1,Milwaukee Bucks*,73,241.0,43.3,90.9,.476,13.8,38.9,.355,29.5,52.0,.567,18.3,24.7,.742,9.5,42.2,51.7,25.9,7.2,5.9,15.1,19.6,118.7,2020
2,Portland Trail Blazers*,74,241.0,42.2,91.2,.463,12.9,34.1,.377,29.3,57.1,.514,17.7,22.1,.804,10.2,35.1,45.3,20.6,6.3,6.1,12.8,21.7,115.0,2020
3,Houston Rockets*,72,241.4,40.8,90.4,.451,15.6,45.3,.345,25.1,45.2,.557,20.6,26.1,.791,9.8,34.5,44.3,21.6,8.7,5.2,14.7,21.8,117.8,2020
4,Los Angeles Clippers*,72,241.4,41.6,89.2,.466,12.4,33.5,.371,29.1,55.8,.522,20.8,26.3,.791,10.7,37.0,47.7,23.7,7.1,4.7,14.6,22.1,116.3,2020
5,New Orleans Pelicans,72,242.1,42.6,91.6,.465,13.6,36.9,.370,28.9,54.8,.528,17.1,23.4,.729,11.1,35.4,46.5,26.8,7.5,5.0,16.4,21.2,115.8,2020
6,Phoenix Suns,73,241.0,41.2,88.1,.468,11.4,31.8,.358,29.8,56.3,.529,19.9,23.8,.834,9.8,33.8,43.5,27.2,7.7,4.0,14.8,22.0,113.6,2020
7,Washington Wizards,72,241.0,41.5,90.9,.457,12.0,32.6,.368,29.5,58.3,.506,19.4,24.6,.788,10.2,31.9,42.0,25.0,8.0,4.3,14.2,22.7,114.4,2020
8,Memphis Grizzlies,73,240.7,42.5,90.9,.468,10.9,31.5,.347,31.6,59.4,.532,16.6,21.8,.763,10.3,36.2,46.5,26.9,7.9,5.5,15.2,21.2,112.6,2020
9,Boston Celtics*,72,242.1,41.3,89.6,.461,12.6,34.5,.364,28.7,55.0,.522,18.6,23.2,.801,10.7,35.4,46.1,23.0,8.3,5.6,13.8,21.6,113.7,2020
10,Miami Heat*,73,243.1,39.5,84.4,.468,13.4,35.4,.379,26.0,49.0,.532,19.7,25.2,.783,8.5,35.9,44.4,25.9,7.5,4.5,14.9,20.6,112.0,2020
11,Denver Nuggets*,73,243.1,42.0,88.9,.473,11.0,30.6,.359,31.1,58.3,.533,16.2,20.9,.777,10.8,33.4,44.1,26.7,8.0,4.6,13.8,20.3,111.3,2020
12,Toronto Raptors*,72,241.4,40.2,87.9,.458,13.8,37.0,.374,26.4,50.9,.519,18.5,23.2,.796,9.5,35.9,45.4,25.2,8.8,5.0,14.8,21.7,112.8,2020
13,San Antonio Spurs,71,242.5,42.2,89.4,.472,10.7,28.5,.376,31.5,61.0,.516,19.0,23.4,.810,9.0,35.6,44.6,24.7,7.3,5.5,12.6,19.4,114.1,2020
14,Philadelphia 76ers*,73,241.0,41.1,87.9,.468,11.6,31.6,.368,29.5,56.3,.524,16.9,22.4,.755,10.5,35.0,45.4,25.8,8.0,5.3,14.2,20.9,110.7,2020
15,,,,,,,,,,,,,,,,,,,,,,,,,2020
16,Los Angeles Lakers*,71,240.7,42.3,88.3,.480,11.0,31.6,.349,31.3,56.7,.552,17.7,24.3,.729,10.7,35.1,45.7,25.4,8.6,6.6,15.2,20.7,113.4,2020
17,Brooklyn Nets*,72,242.8,40.4,90.3,.448,13.1,38.1,.343,27.3,52.1,.524,17.9,24.1,.745,10.6,37.3,47.9,24.5,6.4,4.5,15.3,21.0,111.8,2020
18,Utah Jazz*,72,241.0,40.1,85.1,.471,13.4,35.2,.380,26.7,49.9,.535,17.8,22.8,.779,9.1,35.8,44.9,22.4,6.1,4.1,15.1,20.4,111.3,2020
19,Indiana Pacers*,73,241.4,42.1,88.5,.476,10.2,28.0,.363,31.9,60.4,.529,15.0,19.1,.787,8.7,34.1,42.8,25.9,7.4,5.2,13.2,19.8,109.4,2020
20,Oklahoma City Thunder*,72,242.1,40.0,85.5,.468,10.7,30.2,.355,29.3,55.3,.529,19.8,24.8,.796,8.2,34.7,42.9,21.7,7.6,4.9,13.7,19.3,110.4,2020
21,Sacramento Kings,72,242.4,40.9,88.4,.462,12.7,34.9,.364,28.2,53.5,.527,15.7,20.3,.770,9.7,32.9,42.6,23.8,7.7,4.1,14.5,22.2,110.1,2020
22,Orlando Magic*,73,240.7,39.3,88.6,.444,11.1,32.2,.343,28.3,56.4,.502,17.6,22.7,.774,10.3,34.2,44.5,23.9,8.2,5.4,12.8,18.3,107.3,2020
23,Atlanta Hawks,67,243.0,40.6,90.6,.449,12.0,36.1,.333,28.6,54.5,.525,18.5,23.4,.790,9.9,33.4,43.3,24.0,7.8,5.1,16.2,23.1,111.8,2020
24,Minnesota Timberwolves,64,243.1,40.4,91.6,.441,13.3,39.7,.336,27.1,52.0,.521,19.1,25.4,.753,10.5,34.3,44.8,23.8,8.7,5.7,15.3,21.4,113.3,2020
25,Detroit Pistons,66,241.9,39.3,85.7,.459,12.0,32.7,.367,27.3,53.0,.515,16.6,22.4,.743,9.8,32.0,41.7,24.1,7.4,4.5,15.3,19.7,107.2,2020
26,New York Knicks,66,241.9,40.0,89.3,.447,9.6,28.4,.337,30.4,61.0,.499,16.3,23.5,.694,12.0,34.5,46.5,22.1,7.6,4.7,14.3,22.2,105.8,2020
27,Cleveland Cavaliers,65,241.9,40.3,87.9,.458,11.2,31.8,.351,29.1,56.1,.519,15.1,19.9,.758,10.8,33.4,44.2,23.1,6.9,3.2,16.5,18.3,106.9,2020
28,Chicago Bulls,65,241.2,39.6,88.6,.447,12.2,35.1,.348,27.4,53.5,.511,15.5,20.5,.755,10.5,31.4,41.9,23.2,10.0,4.1,15.5,21.8,106.8,2020
29,Golden State Warriors,65,241.9,38.6,88.2,.438,10.4,31.3,.334,28.2,56.9,.495,18.7,23.2,.803,10.0,32.9,42.8,25.6,8.2,4.6,14.9,20.1,106.3,2020
30,Charlotte Hornets,65,242.3,37.3,85.9,.434,12.1,34.3,.352,25.2,51.6,.489,16.2,21.6,.748,11.0,31.8,42.8,23.8,6.6,4.1,14.6,18.8,102.9,2020
